Price,Adj Close,Close,High,Low,Open,Volume
Ticker,278530.KS,278530.KS,278530.KS,278530.KS,278530.KS,278530.KS
Date,,,,,,
2017-11-21,10045.0,10045.0,10080.0,10020.0,10050.0,1065113
2017-11-22,10105.0,10105.0,10145.0,10080.0,10090.0,1085828
2017-11-23,10075.0,10075.0,10120.0,10060.0,10120.0,844473
2017-11-24,10100.0,10100.0,10100.0,10050.0,10075.0,1187356
2017-11-27,9925.0,9925.0,10105.0,9915.0,10100.0,1130152
2017-11-28,9940.0,9940.0,9970.0,9895.0,9920.0,713229
2017-11-29,9960.0,9960.0,10000.0,9940.0,9975.0,785645
2017-11-30,9800.0,9800.0,9915.0,9790.0,9885.0,1141143
2017-12-01,9790.0,9790.0,9830.0,9770.0,9820.0,878667
2017-12-04,9865.0,9865.0,9870.0,9785.0,9820.0,776078
2017-12-05,9910.0,9910.0,9935.0,9865.0,9865.0,405507
2017-12-06,9780.0,9780.0,9910.0,9780.0,9910.0,841054
2017-12-07,9750.0,9750.0,9795.0,9710.0,9785.0,1263169
2017-12-08,9785.0,9785.0,9805.0,9745.0,9780.0,868271
2017-12-11,9790.0,9790.0,9800.0,9745.0,9795.0,970536
2017-12-12,9750.0,9750.0,9775.0,9735.0,9770.0,967740
2017-12-13,9820.0,9820.0,9835.0,9735.0,9750.0,1360808
2017-12-14,9890.0,9890.0,9970.0,9835.0,9855.0,1665512
2017-12-15,9820.0,9820.0,9890.0,9800.0,9880.0,2614309
2017-12-18,9830.0,9830.0,9850.0,9810.0,9825.0,1762448
2017-12-19,9835.0,9835.0,9910.0,9810.0,9885.0,1496604
2017-12-21,9635.0,9635.0,9800.0,9635.0,9800.0,2482439
2017-12-22,9685.0,9685.0,9695.0,9625.0,9645.0,1881811
2017-12-26,9630.0,9630.0,9735.0,9630.0,9705.0,2860460
2017-12-27,9735.0,9735.0,9740.0,9650.0,9665.0,2555817
2017-12-28,9895.0,9895.0,9895.0,9745.0,9745.0,717868
2018-01-02,9915.0,9915.0,9930.0,9870.0,9910.0,869954
2018-01-03,9960.0,9960.0,9980.0,9930.0,9945.0,915997
2018-01-04,9875.0,9875.0,10005.0,9875.0,10005.0,299462
2018-01-05,10005.0,10005.0,10005.0,9910.0,9915.0,806660
2018-01-08,10075.0,10075.0,10095.0,9990.0,10070.0,1138374
2018-01-09,10045.0,10045.0,10120.0,10000.0,10075.0,1890614
2018-01-10,9975.0,9975.0,10065.0,9965.0,10065.0,643199
2018-01-11,9925.0,9925.0,9980.0,9900.0,9965.0,1057044
2018-01-12,9945.0,9945.0,9975.0,9875.0,9975.0,1090017
2018-01-15,9965.0,9965.0,10005.0,9930.0,9990.0,280985
2018-01-16,10035.0,10035.0,10050.0,9945.0,9970.0,300835
2018-01-17,10020.0,10020.0,10045.0,9990.0,10025.0,441754
2018-01-18,10020.0,10020.0,10095.0,10005.0,10065.0,289283
2018-01-19,10020.0,10020.0,10050.0,10005.0,10025.0,1051781
2018-01-22,9930.0,9930.0,10000.0,9885.0,10000.0,320481
2018-01-23,10060.0,10060.0,10060.0,9955.0,9975.0,372266
