Price,Adj Close,Close,High,Low,Open,Volume
Ticker,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS
Date,,,,,,
2011-10-20,80422.6875,100045.0,100100.0,99940.0,99970.0,43093
2011-10-21,80064.9609375,99600.0,99950.0,99435.0,99885.0,4286
2011-10-24,79787.6328125,99255.0,99630.0,99220.0,99630.0,4303
2011-10-25,79944.375,99450.0,99545.0,99350.0,99405.0,1186
2011-10-26,80060.953125,99595.0,99615.0,99285.0,99385.0,17543
2011-10-27,79936.3515625,99440.0,99735.0,99440.0,99465.0,1737
2011-10-28,79851.953125,99335.0,99410.0,99050.0,99410.0,815
2011-10-31,80249.8515625,99830.0,99895.0,99620.0,99620.0,215
2011-11-01,80535.21875,100185.0,100295.0,100150.0,100195.0,5653
2011-11-02,80591.4921875,100255.0,100290.0,100230.0,100250.0,539
2011-11-03,80683.9375,100370.0,100370.0,100320.0,100335.0,1306
2011-11-04,80559.34375,100215.0,100325.0,100170.0,100310.0,897
2011-11-07,80631.6953125,100305.0,100305.0,100190.0,100250.0,1308
2011-11-08,80832.6640625,100555.0,100555.0,100320.0,100320.0,2472
2011-11-09,80917.0625,100660.0,100720.0,100600.0,100600.0,128
2011-11-10,81065.765625,100845.0,100960.0,100600.0,100660.0,950
2011-11-11,80804.5234375,100520.0,100800.0,100520.0,100800.0,242
2011-11-14,80551.296875,100205.0,100505.0,100160.0,100505.0,346
2011-11-15,80712.078125,100405.0,100440.0,100310.0,100335.0,616
2011-11-16,81033.6171875,100805.0,100805.0,100360.0,100470.0,357
2011-11-17,80852.7578125,100580.0,100760.0,100545.0,100720.0,580
2011-11-18,80985.390625,100745.0,100760.0,100510.0,100535.0,168
2011-11-21,80933.125,100680.0,100680.0,100425.0,100600.0,196
2011-11-22,81049.6953125,100825.0,100840.0,100645.0,100655.0,5021
2011-11-23,81130.078125,100925.0,100925.0,100790.0,100915.0,766
2011-11-24,81222.5390625,101040.0,101075.0,100970.0,100970.0,720
2011-11-25,80913.0390625,100655.0,100960.0,100605.0,100960.0,483
2011-11-28,80852.7578125,100580.0,100680.0,100510.0,100640.0,864
2011-11-29,80876.8671875,100610.0,100695.0,100550.0,100695.0,242
2011-11-30,81073.8203125,100855.0,100855.0,100615.0,100615.0,281
2011-12-01,80985.390625,100745.0,100925.0,100675.0,100765.0,699
2011-12-02,81049.6953125,100825.0,100865.0,100785.0,100815.0,235
2011-12-05,81116.0078125,100325.0,100330.0,100235.0,100305.0,166
2011-12-06,81091.7421875,100295.0,100370.0,100295.0,100335.0,6389
2011-12-07,81099.8359375,100305.0,100305.0,100200.0,100295.0,110
2011-12-08,80966.4140625,100140.0,100455.0,100105.0,100305.0,132
2011-12-09,81087.6875,100290.0,100340.0,100195.0,100265.0,281
2011-12-12,81055.359375,100250.0,100250.0,100190.0,100205.0,96
2011-12-13,81152.3671875,100370.0,115000.0,100000.0,115000.0,541
2011-12-14,81196.8359375,100425.0,100425.0,100365.0,100365.0,42
2011-12-15,81225.140625,100460.0,100490.0,100400.0,100485.0,147
2011-12-16,81176.6328125,100400.0,100485.0,100315.0,100485.0,39
2011-12-19,80699.609375,99810.0,100500.0,99340.0,100450.0,555
2011-12-20,80950.2421875,100120.0,100205.0,100070.0,100070.0,115
2011-12-21,80998.7734375,100180.0,100200.0,100180.0,100200.0,89
2011-12-22,80990.65625,100170.0,100225.0,100160.0,100225.0,198
2011-12-23,80990.65625,100170.0,100170.0,100045.0,100135.0,158
2011-12-26,80994.7109375,100175.0,100175.0,100020.0,100165.0,239
2011-12-27,80958.34375,100130.0,100210.0,100105.0,100210.0,123
2011-12-28,81079.609375,100280.0,100280.0,100180.0,100205.0,28
2011-12-29,81439.421875,100725.0,100740.0,100355.0,100355.0,570
2012-01-02,81362.5859375,100630.0,100705.0,100630.0,100680.0,1023
2012-01-03,81342.3828125,100605.0,100605.0,100530.0,100605.0,156
2012-01-04,81289.8359375,100540.0,100580.0,100495.0,100580.0,42818
2012-01-05,81415.15625,100695.0,100695.0,100570.0,100570.0,3532
2012-01-06,81483.8828125,100780.0,100780.0,100590.0,100680.0,2089
2012-01-09,81427.28125,100710.0,100710.0,100710.0,100710.0,210
2012-01-10,81382.8046875,100655.0,100715.0,100655.0,100715.0,68
2012-01-11,81419.1953125,100700.0,100700.0,100585.0,100655.0,136
2012-01-12,81447.5,100735.0,100785.0,100695.0,100735.0,1185
2012-01-13,81479.8359375,100775.0,100895.0,100735.0,100765.0,2294
2012-01-16,81496.0,100795.0,100795.0,100755.0,100790.0,843
2012-01-17,81459.609375,100750.0,100810.0,100740.0,100740.0,1585
2012-01-18,81496.0,100795.0,100805.0,100675.0,100675.0,1421
2012-01-19,81512.171875,100815.0,100855.0,100780.0,100855.0,57
2012-01-20,81354.5234375,100620.0,100715.0,100620.0,100715.0,209
2012-01-25,81431.3203125,100715.0,100740.0,100650.0,100740.0,617
2012-01-26,81459.609375,100750.0,100835.0,100710.0,100835.0,294
2012-01-27,81459.609375,100750.0,100750.0,100710.0,100710.0,206
2012-01-30,81649.625,100985.0,100985.0,100870.0,100870.0,2570
2012-01-31,81758.78125,101120.0,101120.0,100970.0,100970.0,336
2012-02-01,81787.0625,101155.0,101155.0,101105.0,101130.0,652
2012-02-02,81742.609375,101100.0,101100.0,101065.0,101065.0,706
2012-02-03,81783.0234375,101150.0,101170.0,101150.0,101170.0,236
2012-02-06,81653.671875,100990.0,100990.0,100985.0,100985.0,109
2012-02-07,81605.1640625,100930.0,100940.0,100915.0,100940.0,506
2012-02-08,81403.015625,100680.0,100920.0,100680.0,100920.0,217
2012-02-09,81435.3671875,100720.0,100720.0,100680.0,100680.0,510
2012-02-10,81500.046875,100800.0,100800.0,100755.0,100755.0,652
2012-02-13,81451.5390625,100740.0,100740.0,100740.0,100740.0,1
2012-02-14,81512.171875,100815.0,100830.0,100785.0,100785.0,1150
2012-02-15,81508.1328125,100810.0,100810.0,100810.0,100810.0,5
2012-02-16,81653.671875,100990.0,101000.0,100855.0,100890.0,1115
2012-02-17,81512.171875,100815.0,100815.0,100790.0,100790.0,583
2012-02-20,81407.078125,100685.0,100685.0,100680.0,100680.0,224
2012-02-21,81504.0859375,100805.0,100875.0,100715.0,100815.0,28
2012-02-22,81463.6640625,100755.0,100780.0,100755.0,100780.0,13
2012-02-23,81512.171875,100815.0,100860.0,100815.0,100815.0,650
2012-02-24,81576.859375,100895.0,100950.0,100780.0,100950.0,31
2012-02-27,81621.3125,100950.0,100950.0,100950.0,100950.0,150
2012-02-28,81774.953125,101140.0,101140.0,100985.0,100985.0,11
2012-02-29,81730.484375,101085.0,101085.0,101085.0,101085.0,104
2012-03-02,81572.8125,100890.0,101045.0,100790.0,101045.0,67
2012-03-05,81403.015625,100680.0,100850.0,100680.0,100850.0,16
2012-03-06,81370.6875,100640.0,100685.0,100550.0,100685.0,581
2012-03-07,81366.640625,100635.0,100680.0,100635.0,100680.0,201
2012-03-08,81366.640625,100635.0,100635.0,100635.0,100635.0,350
2012-03-09,81496.0,100795.0,100795.0,100730.0,100730.0,422
2012-03-12,81621.3125,100950.0,100950.0,100840.0,100860.0,767
2012-03-13,81613.2421875,100940.0,100940.0,100825.0,100940.0,356
2012-03-14,81411.1171875,100690.0,100715.0,100690.0,100700.0,180
2012-03-15,81269.609375,100515.0,100515.0,100415.0,100505.0,251
2012-03-16,81023.0078125,100210.0,100480.0,100160.0,100430.0,622
2012-03-19,80954.296875,100125.0,100125.0,100125.0,100125.0,70
2012-03-20,80877.4765625,100030.0,100030.0,99820.0,100030.0,172
2012-03-21,80715.7734375,99830.0,99830.0,99795.0,99795.0,104
2012-03-22,80638.96875,99735.0,99785.0,99640.0,99785.0,303
2012-03-23,80574.2734375,99655.0,99695.0,99655.0,99695.0,21
2012-03-26,80792.59375,99925.0,99925.0,99900.0,99900.0,100
2012-03-27,80865.359375,100015.0,100015.0,100015.0,100015.0,150
2012-03-28,80954.296875,100125.0,100125.0,99980.0,100020.0,154
2012-03-29,80865.359375,100015.0,100015.0,100015.0,100015.0,350
2012-03-30,81265.578125,100510.0,100510.0,100265.0,100265.0,211
2012-04-02,81018.9609375,100205.0,100305.0,100205.0,100305.0,1805
2012-04-03,81229.1953125,100465.0,100465.0,100245.0,100245.0,1101
2012-04-04,81152.3671875,100370.0,100370.0,100370.0,100370.0,0
2012-04-05,81217.0703125,100450.0,100540.0,100450.0,100540.0,750
2012-04-06,81330.265625,100590.0,100590.0,100365.0,100525.0,3055
2012-04-09,81403.015625,100680.0,100935.0,100680.0,100935.0,5
2012-04-10,81609.1953125,100935.0,100935.0,100700.0,100700.0,156
2012-04-12,81633.4609375,100965.0,100965.0,100965.0,100965.0,230
2012-04-13,81605.1640625,100930.0,100930.0,100930.0,100930.0,10
2012-04-16,81867.9296875,101255.0,101255.0,100995.0,100995.0,696
2012-04-17,81952.8203125,101360.0,101360.0,101235.0,101235.0,120
2012-04-18,81807.296875,101180.0,101180.0,101180.0,101180.0,150
2012-04-19,81847.71875,101230.0,101230.0,101230.0,101230.0,180
2012-04-20,81969.0078125,101380.0,101380.0,101380.0,101380.0,70
2012-04-23,81867.9296875,101255.0,101255.0,101255.0,101255.0,197
2012-04-24,81855.796875,101240.0,101240.0,101240.0,101240.0,21
2012-04-25,81746.640625,101105.0,101235.0,101025.0,101235.0,21
2012-04-26,81839.6328125,101220.0,101220.0,101220.0,101220.0,150
2012-04-27,82033.6875,101460.0,101460.0,101370.0,101395.0,3002
2012-04-30,82150.90625,101605.0,101635.0,101460.0,101460.0,175
2012-05-02,82114.53125,101560.0,101715.0,101560.0,101605.0,320
2012-05-03,82215.609375,101685.0,101770.0,101565.0,101565.0,29
2012-05-04,82304.53125,101795.0,101815.0,101685.0,101685.0,175
2012-05-07,82583.4921875,102140.0,102160.0,101985.0,101985.0,77959
2012-05-08,82530.9296875,102075.0,102140.0,101950.0,102140.0,46277
2012-05-09,82599.65625,102160.0,102275.0,102075.0,102075.0,47556
2012-05-10,82385.390625,101895.0,102165.0,101885.0,102160.0,6285
2012-05-11,82636.03125,102205.0,102205.0,101925.0,101925.0,23308
2012-05-14,82676.4765625,102255.0,102280.0,102205.0,102205.0,7451
2012-05-15,82785.6171875,102390.0,102480.0,102255.0,102255.0,2956
2012-05-16,82692.6328125,102275.0,102425.0,102140.0,102390.0,22974
2012-05-17,82801.7890625,102410.0,102435.0,102320.0,102325.0,44298
2012-05-18,82793.7109375,102400.0,102545.0,102400.0,102545.0,3365
2012-05-21,82716.8984375,102305.0,102465.0,102300.0,102465.0,1670
2012-05-22,82769.453125,102370.0,102395.0,102170.0,102305.0,3551
2012-05-23,82797.7421875,102405.0,102470.0,102370.0,102370.0,3801
2012-05-24,82910.9453125,102545.0,102575.0,102405.0,102410.0,5260
2012-05-25,82894.765625,102525.0,102585.0,102525.0,102550.0,5047
2012-05-29,82882.640625,102510.0,102615.0,102400.0,102400.0,1750
2012-05-30,82955.40625,102600.0,102600.0,102440.0,102515.0,6008
