Price,Adj Close,Close,High,Low,Open,Volume
Ticker,360750.KS,360750.KS,360750.KS,360750.KS,360750.KS,360750.KS
Date,,,,,,
2020-08-07,9612.5048828125,10010.0,10045.0,9970.0,10030.0,122948
2020-08-10,9636.513671875,10035.0,10050.0,10005.0,10010.0,207014
2020-08-11,9646.1171875,10045.0,10055.0,10030.0,10045.0,81106
2020-08-12,9607.705078125,10005.0,10010.0,9945.0,9985.0,66343
2020-08-13,9655.7197265625,10055.0,10090.0,10045.0,10090.0,159153
2020-08-14,9694.1298828125,10095.0,10110.0,10070.0,10110.0,216668
2020-08-18,9689.330078125,10090.0,10130.0,10090.0,10125.0,78472
2020-08-19,9708.5361328125,10110.0,10135.0,10090.0,10105.0,84389
2020-08-20,9650.9169921875,10050.0,10060.0,10010.0,10055.0,79487
2020-08-21,9732.54296875,10135.0,10150.0,10105.0,10105.0,67963
2020-08-24,9818.966796875,10225.0,10230.0,10190.0,10190.0,156519
2020-08-25,9890.9892578125,10300.0,10320.0,10270.0,10320.0,391580
2020-08-26,9900.59375,10310.0,10325.0,10295.0,10315.0,96101
2020-08-27,9963.0107421875,10375.0,11000.0,10370.0,10370.0,110482
2020-08-28,10054.2392578125,10470.0,10475.0,10420.0,10430.0,100488
2020-08-31,10102.2548828125,10520.0,10520.0,10455.0,10475.0,180183
2020-09-01,10030.2333984375,10445.0,10475.0,10435.0,10475.0,83053
2020-09-02,10155.0693359375,10575.0,10585.0,10550.0,10560.0,109163
2020-09-03,10275.10546875,10700.0,10720.0,10680.0,10695.0,110358
2020-09-04,9919.798828125,10330.0,10365.0,10280.0,10285.0,121344
2020-09-07,9761.3515625,10165.0,10230.0,10165.0,10205.0,59571
2020-09-08,9881.3876953125,10290.0,10300.0,10250.0,10260.0,80929
2020-09-09,9578.8955078125,9975.0,10145.0,9840.0,9840.0,105632
2020-09-10,9766.15234375,10170.0,10190.0,10110.0,10190.0,76118
2020-09-11,9670.1220703125,10070.0,10075.0,10000.0,10000.0,94933
2020-09-14,9674.92578125,10075.0,10085.0,10030.0,10085.0,31632
2020-09-15,9694.1298828125,10095.0,10105.0,10060.0,10080.0,36144
2020-09-16,9703.734375,10105.0,10130.0,10085.0,10095.0,36483
2020-09-17,9458.859375,9850.0,10055.0,9850.0,10055.0,76384
2020-09-18,9454.0576171875,9845.0,9900.0,9810.0,9885.0,46557
2020-09-21,9271.603515625,9655.0,9780.0,9640.0,9780.0,443072
2020-09-22,9228.3916015625,9610.0,9675.0,9600.0,9655.0,331703
2020-09-23,9338.822265625,9725.0,9745.0,9685.0,9720.0,271023
2020-09-24,9161.169921875,9540.0,9565.0,9490.0,9520.0,342769
2020-09-25,9237.990234375,9620.0,9645.0,9600.0,9620.0,257017
2020-09-28,9439.654296875,9830.0,9830.0,9755.0,9780.0,245784
2020-09-29,9521.279296875,9915.0,9955.0,9895.0,9955.0,245753
2020-10-05,9478.0654296875,9870.0,9910.0,9860.0,9890.0,244158
2020-10-06,9554.888671875,9950.0,9970.0,9910.0,9925.0,223966
2020-10-07,9458.859375,9850.0,9860.0,9820.0,9820.0,234481
2020-10-08,9583.69921875,9980.0,10000.0,9945.0,9985.0,260633
2020-10-12,9689.330078125,10090.0,10100.0,10005.0,10005.0,263170
2020-10-13,9814.166015625,10220.0,10240.0,10105.0,10105.0,227827
2020-10-14,9775.75390625,10180.0,10195.0,10135.0,10195.0,221263
2020-10-15,9617.30859375,10015.0,10095.0,10010.0,10095.0,215758
2020-10-16,9660.51953125,10060.0,10090.0,10050.0,10060.0,204143
2020-10-19,9660.51953125,10060.0,10070.0,10035.0,10050.0,271961
2020-10-20,9487.6669921875,9880.0,9925.0,9870.0,9920.0,245207
2020-10-21,9492.470703125,9885.0,9910.0,9865.0,9900.0,198931
2020-10-22,9386.83984375,9775.0,9805.0,9760.0,9800.0,226974
2020-10-23,9454.0576171875,9845.0,9900.0,9780.0,9780.0,210847
2020-10-26,9382.0361328125,9770.0,9820.0,9765.0,9820.0,200540
2020-10-27,9300.4111328125,9685.0,9715.0,9650.0,9675.0,446745
2020-10-28,9233.19140625,9615.0,9625.0,9570.0,9610.0,475033
2020-10-29,9084.193359375,9450.0,9450.0,9380.0,9400.0,228538
