Price,Adj Close,Close,High,Low,Open,Volume
Ticker,304660.KS,304660.KS,304660.KS,304660.KS,304660.KS,304660.KS
Date,,,,,,
2018-09-12,9960.0,9960.0,9960.0,9945.0,9960.0,29
2018-09-13,9970.0,9970.0,9975.0,9970.0,9975.0,63
2018-09-14,9975.0,9975.0,9975.0,9945.0,9970.0,35827
2018-09-17,9935.0,9935.0,9945.0,9935.0,9945.0,13
2018-09-18,9920.0,9920.0,9920.0,9920.0,9920.0,10
2018-09-19,9825.0,9825.0,9830.0,9825.0,9830.0,3196
2018-09-20,9800.0,9800.0,9815.0,9800.0,9815.0,8
2018-09-21,9830.0,9830.0,9830.0,9830.0,9830.0,9
2018-09-27,9855.0,9855.0,9860.0,9825.0,9860.0,203
2018-09-28,9830.0,9830.0,9835.0,9725.0,9835.0,14122
2018-10-01,9790.0,9790.0,9815.0,9770.0,9815.0,25763
2018-10-02,9755.0,9755.0,9755.0,9755.0,9755.0,186
2018-10-04,9535.0,9535.0,9595.0,9510.0,9565.0,226
2018-10-05,9565.0,9565.0,9565.0,9565.0,9565.0,1570
2018-10-08,9435.0,9435.0,9460.0,9435.0,9455.0,502
2018-10-10,9535.0,9535.0,9535.0,9520.0,9535.0,15
2018-10-11,9590.0,9590.0,9600.0,9575.0,9575.0,57
2018-10-12,9580.0,9580.0,9580.0,9580.0,9580.0,1
2018-10-15,9615.0,9615.0,9615.0,9615.0,9615.0,31
2018-10-16,9580.0,9580.0,9600.0,9580.0,9600.0,131
2018-10-17,9610.0,9610.0,9610.0,9585.0,9585.0,27
2018-10-18,9555.0,9555.0,9555.0,9545.0,9550.0,26
2018-10-19,9555.0,9555.0,9555.0,9555.0,9555.0,32
2018-10-22,9525.0,9525.0,9540.0,9525.0,9525.0,140
2018-10-23,9575.0,9575.0,9575.0,9575.0,9575.0,1
2018-10-24,9570.0,9570.0,9570.0,9555.0,9555.0,106
2018-10-25,9610.0,9610.0,9620.0,9610.0,9615.0,1052
2018-10-26,9610.0,9610.0,9610.0,9610.0,9610.0,146
2018-10-29,9630.0,9630.0,9630.0,9630.0,9630.0,70
2018-10-30,9590.0,9590.0,9590.0,9590.0,9590.0,45
2018-10-31,9530.0,9530.0,9540.0,9530.0,9540.0,37
2018-11-01,9505.0,9505.0,9505.0,9505.0,9505.0,0
2018-11-02,9515.0,9515.0,9535.0,9515.0,9535.0,201
2018-11-05,9405.0,9405.0,9430.0,9405.0,9430.0,521
2018-11-06,9465.0,9465.0,9465.0,9445.0,9445.0,45
2018-11-07,9420.0,9420.0,9430.0,9415.0,9430.0,229
2018-11-08,9440.0,9440.0,9445.0,9440.0,9445.0,111
2018-11-09,9480.0,9480.0,9480.0,9465.0,9465.0,8
2018-11-12,9520.0,9520.0,9525.0,9520.0,9520.0,1075
2018-11-13,9555.0,9555.0,9595.0,9555.0,9595.0,912
2018-11-14,9575.0,9575.0,9580.0,9575.0,9580.0,11
2018-11-15,9560.0,9560.0,9580.0,9555.0,9555.0,6770
2018-11-16,9580.0,9580.0,9580.0,9550.0,9550.0,6116
2018-11-19,9620.0,9620.0,9635.0,9620.0,9625.0,154
2018-11-20,9645.0,9645.0,9645.0,9645.0,9645.0,47
2018-11-21,9640.0,9640.0,9640.0,9640.0,9640.0,29
2018-11-22,9660.0,9660.0,9660.0,9660.0,9660.0,100
2018-11-23,9650.0,9650.0,9650.0,9650.0,9650.0,1
2018-11-26,9645.0,9645.0,9665.0,9645.0,9660.0,556
2018-11-27,9650.0,9650.0,9650.0,9650.0,9650.0,2
2018-11-28,9645.0,9645.0,9645.0,9645.0,9645.0,157
2018-11-29,9645.0,9645.0,9645.0,9645.0,9645.0,0
2018-11-30,9615.0,9615.0,9630.0,9615.0,9630.0,6851
2018-12-03,9630.0,9630.0,9645.0,9590.0,9590.0,6948
2018-12-04,9840.0,9840.0,9845.0,9735.0,9740.0,2074
2018-12-05,9865.0,9865.0,9905.0,9860.0,9905.0,37
2018-12-06,9950.0,9950.0,9970.0,9865.0,9865.0,141
2018-12-07,9960.0,9960.0,9960.0,9890.0,9890.0,2
2018-12-10,9955.0,9955.0,9955.0,9955.0,9955.0,6
2018-12-11,9955.0,9955.0,9955.0,9955.0,9955.0,0
2018-12-12,9970.0,9970.0,9970.0,9970.0,9970.0,123
2018-12-13,9940.0,9940.0,9940.0,9940.0,9940.0,2
2018-12-14,9940.0,9940.0,9940.0,9940.0,9940.0,0
2018-12-17,9950.0,9950.0,9955.0,9950.0,9955.0,215
2018-12-18,10015.0,10015.0,10020.0,10010.0,10015.0,2729
2018-12-19,10060.0,10060.0,10100.0,10060.0,10065.0,1471
2018-12-20,10235.0,10235.0,10255.0,10190.0,10210.0,160
2018-12-21,10130.0,10130.0,10135.0,10105.0,10135.0,47
2018-12-24,10125.0,10125.0,10135.0,10105.0,10130.0,2131
2018-12-26,10225.0,10225.0,10225.0,10175.0,10175.0,148
2018-12-27,10130.0,10130.0,10130.0,10080.0,10105.0,312
2018-12-28,10100.0,10100.0,10115.0,10100.0,10110.0,45775
2019-01-02,10185.0,10185.0,10190.0,10145.0,10145.0,47290
2019-01-03,10290.0,10290.0,10310.0,10280.0,10310.0,1221
2019-01-04,10355.0,10355.0,10410.0,10355.0,10360.0,3006
2019-01-07,10235.0,10235.0,10245.0,10205.0,10240.0,407
2019-01-09,10190.0,10190.0,10200.0,10170.0,10200.0,397
2019-01-10,10190.0,10190.0,10200.0,10190.0,10200.0,350
2019-01-11,10135.0,10135.0,10135.0,10095.0,10125.0,415
2019-01-14,10155.0,10155.0,10180.0,10145.0,10145.0,92
2019-01-15,10100.0,10100.0,10105.0,10100.0,10105.0,136
2019-01-16,10090.0,10090.0,10100.0,10085.0,10100.0,13398
2019-01-17,10110.0,10110.0,10110.0,10105.0,10105.0,35
2019-01-18,10095.0,10095.0,10095.0,10080.0,10080.0,12
2019-01-21,10030.0,10030.0,10040.0,10020.0,10040.0,244
2019-01-22,10080.0,10080.0,10080.0,10025.0,10025.0,31
2019-01-23,10105.0,10105.0,10105.0,10080.0,10080.0,137
2019-01-24,10110.0,10110.0,10110.0,10100.0,10100.0,27
2019-01-25,10150.0,10150.0,10155.0,10130.0,10130.0,143
2019-01-28,10135.0,10135.0,10135.0,10095.0,10095.0,73
2019-01-29,10110.0,10110.0,10110.0,10085.0,10090.0,71
2019-01-30,10150.0,10150.0,10150.0,10140.0,10145.0,2108
2019-01-31,10165.0,10165.0,10170.0,10155.0,10165.0,15087
2019-02-01,10230.0,10230.0,10230.0,10200.0,10220.0,8144
2019-02-07,10195.0,10195.0,10205.0,10120.0,10205.0,773
2019-02-08,10255.0,10255.0,10255.0,10225.0,10245.0,353
2019-02-11,10315.0,10315.0,10320.0,10315.0,10315.0,347
2019-02-12,10205.0,10205.0,10250.0,10200.0,10250.0,4027
2019-02-13,10180.0,10180.0,10190.0,10175.0,10190.0,147
2019-02-14,10170.0,10170.0,10185.0,10170.0,10180.0,2607
2019-02-15,10225.0,10225.0,10225.0,10225.0,10225.0,36
2019-02-18,10220.0,10220.0,10225.0,10205.0,10205.0,3588
2019-02-19,10230.0,10230.0,10235.0,10230.0,10235.0,1432
2019-02-20,10260.0,10260.0,10265.0,10250.0,10250.0,1632
2019-02-21,10205.0,10205.0,10245.0,10205.0,10245.0,678
2019-02-22,10145.0,10145.0,10145.0,10110.0,10140.0,330
2019-02-25,10185.0,10185.0,10190.0,10150.0,10180.0,898
2019-02-26,10175.0,10175.0,10200.0,10170.0,10185.0,212
2019-02-27,10185.0,10185.0,10210.0,10185.0,10210.0,242
2019-02-28,10120.0,10120.0,10120.0,10100.0,10105.0,237
2019-03-04,9970.0,9970.0,9970.0,9865.0,9955.0,138972
2019-03-05,10035.0,10035.0,10035.0,10030.0,10030.0,120
2019-03-06,10070.0,10070.0,10070.0,10040.0,10040.0,150
2019-03-07,10060.0,10060.0,10090.0,10060.0,10090.0,1073
2019-03-08,10165.0,10165.0,10165.0,10135.0,10135.0,2583
2019-03-11,10150.0,10150.0,10195.0,10150.0,10180.0,309
2019-03-12,10120.0,10120.0,10150.0,10120.0,10120.0,1271
2019-03-13,10215.0,10215.0,10230.0,10215.0,10230.0,46
2019-03-14,10190.0,10190.0,10200.0,10180.0,10200.0,77
2019-03-15,10135.0,10135.0,10160.0,10135.0,10150.0,3273
2019-03-18,10190.0,10190.0,10205.0,10190.0,10190.0,44
2019-03-19,10210.0,10210.0,10210.0,10210.0,10210.0,166
2019-03-20,10180.0,10180.0,10190.0,10165.0,10185.0,228
2019-03-21,10290.0,10290.0,10290.0,10275.0,10280.0,270
2019-03-22,10295.0,10295.0,10315.0,10290.0,10290.0,413
2019-03-25,10480.0,10480.0,10485.0,10455.0,10475.0,1662
2019-03-26,10460.0,10460.0,10475.0,10420.0,10460.0,1957
2019-03-27,10475.0,10475.0,10485.0,10470.0,10475.0,384
2019-03-28,10615.0,10615.0,10625.0,10590.0,10620.0,14830
2019-03-29,10575.0,10575.0,10590.0,10575.0,10590.0,62661
2019-04-01,10535.0,10535.0,10560.0,10520.0,10560.0,69308
2019-04-02,10475.0,10475.0,10485.0,10435.0,10435.0,3592
2019-04-03,10405.0,10405.0,10470.0,10405.0,10470.0,4228
2019-04-04,10375.0,10375.0,10385.0,10350.0,10380.0,819
2019-04-05,10360.0,10360.0,10360.0,10340.0,10360.0,240
2019-04-08,10420.0,10420.0,10430.0,10385.0,10410.0,3164
2019-04-09,10375.0,10375.0,10385.0,10360.0,10385.0,2442
2019-04-10,10415.0,10415.0,10420.0,10405.0,10405.0,181
2019-04-11,10425.0,10425.0,10425.0,10400.0,10415.0,1852
2019-04-12,10380.0,10380.0,10385.0,10350.0,10350.0,1142
2019-04-15,10280.0,10280.0,10295.0,10265.0,10295.0,1530
2019-04-16,10300.0,10300.0,10300.0,10275.0,10275.0,2059
2019-04-17,10230.0,10230.0,10255.0,10230.0,10255.0,2033
2019-04-18,10270.0,10270.0,10280.0,10235.0,10235.0,224
2019-04-19,10310.0,10310.0,10310.0,10280.0,10280.0,1030
2019-04-22,10290.0,10290.0,10300.0,10290.0,10295.0,172
2019-04-23,10270.0,10270.0,10275.0,10250.0,10260.0,2697
2019-04-24,10300.0,10300.0,10300.0,10260.0,10275.0,546
2019-04-25,10355.0,10355.0,10365.0,10340.0,10350.0,715
2019-04-26,10335.0,10335.0,10350.0,10335.0,10350.0,255
2019-04-29,10370.0,10370.0,10375.0,10345.0,10375.0,2703
2019-04-30,10340.0,10340.0,10340.0,10300.0,10305.0,4868
2019-05-02,10375.0,10375.0,10395.0,10355.0,10395.0,5817
2019-05-03,10355.0,10355.0,10365.0,10340.0,10340.0,271
2019-05-07,10420.0,10420.0,10445.0,10415.0,10445.0,377
2019-05-08,10480.0,10480.0,10495.0,10455.0,10495.0,314
2019-05-09,10465.0,10465.0,10465.0,10440.0,10445.0,3377
2019-05-10,10475.0,10475.0,10485.0,10470.0,10475.0,3523
2019-05-13,10500.0,10500.0,10505.0,10480.0,10480.0,1616
2019-05-14,10545.0,10545.0,10545.0,10505.0,10530.0,854
2019-05-15,10525.0,10525.0,10540.0,10525.0,10540.0,140
2019-05-16,10595.0,10595.0,10600.0,10585.0,10590.0,2420
2019-05-17,10570.0,10570.0,10570.0,10535.0,10545.0,990
2019-05-20,10570.0,10570.0,10570.0,10530.0,10540.0,11325
2019-05-21,10555.0,10555.0,10555.0,10520.0,10545.0,10441
2019-05-22,10535.0,10535.0,10535.0,10500.0,10535.0,693
2019-05-23,10575.0,10575.0,10600.0,10565.0,10595.0,4292
2019-05-24,10685.0,10685.0,10685.0,10670.0,10670.0,1153
2019-05-27,10700.0,10700.0,10710.0,10690.0,10710.0,170
2019-05-28,10725.0,10725.0,10730.0,10700.0,10730.0,4059
2019-05-29,10845.0,10845.0,10845.0,10785.0,10805.0,3046
2019-05-30,10815.0,10815.0,10815.0,10775.0,10800.0,2320
2019-05-31,10950.0,10950.0,10960.0,10860.0,10880.0,15690
2019-06-03,11040.0,11040.0,11065.0,11015.0,11060.0,15443
2019-06-04,11095.0,11095.0,11095.0,11060.0,11070.0,4502
2019-06-05,11005.0,11005.0,11005.0,10950.0,10975.0,4209
2019-06-07,10955.0,10955.0,10965.0,10945.0,10955.0,1517
2019-06-10,10975.0,10975.0,11005.0,10975.0,10985.0,1655
2019-06-11,10925.0,10925.0,10950.0,10910.0,10950.0,1973
2019-06-12,11000.0,11000.0,11000.0,10945.0,10955.0,3090
2019-06-13,10980.0,10980.0,10990.0,10940.0,10960.0,316
2019-06-14,11010.0,11010.0,11010.0,10995.0,10995.0,102
2019-06-17,11010.0,11010.0,11025.0,10980.0,11025.0,3517
2019-06-18,11065.0,11065.0,11065.0,11020.0,11020.0,743
2019-06-19,11090.0,11090.0,11095.0,11075.0,11085.0,616
2019-06-20,11200.0,11200.0,11210.0,11165.0,11175.0,1754
2019-06-21,11155.0,11155.0,11170.0,11115.0,11130.0,2930
2019-06-24,11045.0,11045.0,11065.0,11005.0,11020.0,4470
2019-06-25,11130.0,11130.0,11140.0,11075.0,11075.0,3091
2019-06-26,11120.0,11120.0,11140.0,11110.0,11110.0,4532
2019-06-27,11045.0,11045.0,11080.0,11020.0,11050.0,13661
2019-06-28,11115.0,11115.0,11130.0,11105.0,11105.0,13344
2019-07-01,11070.0,11070.0,11100.0,11045.0,11075.0,13503
2019-07-02,11100.0,11100.0,11120.0,11090.0,11090.0,6399
2019-07-03,11225.0,11225.0,11225.0,11190.0,11215.0,4195
2019-07-04,11260.0,11260.0,11265.0,11255.0,11255.0,2029
2019-07-05,11265.0,11265.0,11285.0,11260.0,11280.0,936
2019-07-08,11165.0,11165.0,11165.0,11105.0,11110.0,5481
2019-07-09,11135.0,11135.0,11160.0,11135.0,11155.0,2662
2019-07-10,11060.0,11060.0,11115.0,11055.0,11115.0,12314
2019-07-11,11080.0,11080.0,11085.0,11050.0,11050.0,7817
2019-07-12,10915.0,10915.0,10915.0,10880.0,10900.0,5606
2019-07-15,10870.0,10870.0,10905.0,10860.0,10905.0,1312
2019-07-16,10960.0,10960.0,10980.0,10950.0,10950.0,2369
2019-07-17,10980.0,10980.0,10980.0,10940.0,10940.0,1815
2019-07-18,11065.0,11065.0,11080.0,11040.0,11040.0,7035
2019-07-19,11045.0,11045.0,11070.0,11045.0,11050.0,2870
2019-07-22,11030.0,11030.0,11050.0,11025.0,11035.0,6673
2019-07-23,11040.0,11040.0,11040.0,11010.0,11040.0,1887
2019-07-24,10970.0,10970.0,10980.0,10955.0,10955.0,1555
2019-07-25,11035.0,11035.0,11045.0,11010.0,11020.0,15376
2019-07-26,10985.0,10985.0,10995.0,10975.0,10980.0,701
2019-07-29,11020.0,11020.0,11025.0,10990.0,10990.0,3199
2019-07-30,11010.0,11010.0,11025.0,10995.0,11025.0,3464
2019-07-31,11045.0,11045.0,11045.0,11010.0,11030.0,5263
2019-08-01,11065.0,11065.0,11130.0,11065.0,11105.0,10647
2019-08-02,11345.0,11345.0,11355.0,11125.0,11125.0,11166
2019-08-05,11565.0,11565.0,11605.0,11405.0,11405.0,10953
2019-08-06,11630.0,11630.0,11780.0,11570.0,11745.0,25910
2019-08-07,11805.0,11805.0,11860.0,11775.0,11775.0,17818
2019-08-08,11720.0,11720.0,11810.0,11690.0,11805.0,14287
2019-08-09,11815.0,11815.0,11835.0,11790.0,11790.0,9256
2019-08-12,11805.0,11805.0,11805.0,11770.0,11805.0,7955
2019-08-13,12050.0,12050.0,12050.0,11970.0,11995.0,13213
2019-08-14,11970.0,11970.0,11980.0,11930.0,11965.0,38211
2019-08-16,12260.0,12260.0,12375.0,12255.0,12360.0,40595
2019-08-19,12165.0,12165.0,12165.0,12095.0,12140.0,35334
2019-08-20,12130.0,12130.0,12140.0,12100.0,12135.0,5896
2019-08-21,12145.0,12145.0,12180.0,12140.0,12175.0,29197
2019-08-22,12195.0,12195.0,12195.0,12120.0,12130.0,19821
2019-08-23,11955.0,11955.0,12040.0,11940.0,12040.0,31750
2019-08-26,12365.0,12365.0,12425.0,12285.0,12310.0,33197
2019-08-27,12250.0,12250.0,12260.0,12210.0,12230.0,19268
2019-08-28,12405.0,12405.0,12445.0,12360.0,12365.0,18334
2019-08-29,12425.0,12425.0,12460.0,12380.0,12385.0,16829
2019-08-30,12340.0,12340.0,12375.0,12300.0,12375.0,9330
2019-09-02,12340.0,12340.0,12405.0,12330.0,12405.0,28220
2019-09-03,12280.0,12280.0,12310.0,12255.0,12310.0,14772
2019-09-04,12315.0,12315.0,12420.0,12295.0,12400.0,10579
2019-09-05,12270.0,12270.0,12355.0,12240.0,12335.0,8395
2019-09-06,12115.0,12115.0,12190.0,12100.0,12180.0,27685
2019-09-09,12225.0,12225.0,12245.0,12195.0,12245.0,29296
2019-09-10,12020.0,12020.0,12030.0,11970.0,12000.0,44131
2019-09-11,11825.0,11825.0,11860.0,11815.0,11820.0,47646
2019-09-16,11500.0,11500.0,11545.0,11500.0,11515.0,25289
2019-09-17,11625.0,11625.0,11660.0,11595.0,11615.0,18272
2019-09-18,11705.0,11705.0,11715.0,11660.0,11695.0,6303
2019-09-19,11775.0,11775.0,11775.0,11690.0,11750.0,12075
2019-09-20,11835.0,11835.0,11835.0,11780.0,11795.0,6158
2019-09-23,11855.0,11855.0,11885.0,11840.0,11870.0,30494
2019-09-24,11930.0,11930.0,11930.0,11895.0,11900.0,24093
2019-09-25,12040.0,12040.0,12085.0,12005.0,12035.0,27546
2019-09-26,11955.0,11955.0,11955.0,11850.0,11870.0,21952
2019-09-27,11925.0,11925.0,11975.0,11920.0,11975.0,15635
2019-09-30,11950.0,11950.0,11995.0,11950.0,11975.0,13000
2019-10-01,11910.0,11910.0,12010.0,11900.0,11990.0,38636
2019-10-02,12000.0,12000.0,12065.0,11980.0,12065.0,22465
2019-10-04,12195.0,12195.0,12205.0,12170.0,12185.0,11033
2019-10-07,12260.0,12260.0,12295.0,12230.0,12260.0,17391
2019-10-08,12105.0,12105.0,12180.0,12090.0,12180.0,11351
2019-10-10,12105.0,12105.0,12155.0,12060.0,12120.0,14734
2019-10-11,11945.0,11945.0,11955.0,11910.0,11945.0,8198
2019-10-14,11855.0,11855.0,11870.0,11795.0,11795.0,24014
2019-10-15,11905.0,11905.0,11940.0,11870.0,11870.0,17132
2019-10-16,11760.0,11760.0,11775.0,11735.0,11755.0,11398
2019-10-17,11795.0,11795.0,11795.0,11765.0,11765.0,9976
2019-10-18,11750.0,11750.0,11775.0,11745.0,11765.0,5563
2019-10-21,11675.0,11675.0,11755.0,11675.0,11750.0,8922
2019-10-22,11625.0,11625.0,11635.0,11600.0,11635.0,24540
2019-10-23,11720.0,11720.0,11745.0,11710.0,11720.0,5764
2019-10-24,11755.0,11755.0,11755.0,11700.0,11725.0,4713
2019-10-25,11715.0,11715.0,11730.0,11710.0,11725.0,5435
2019-10-28,11590.0,11590.0,11630.0,11575.0,11625.0,15624
2019-10-29,11520.0,11520.0,11535.0,11495.0,11535.0,20471
2019-10-30,11570.0,11570.0,11580.0,11560.0,11565.0,5554
2019-10-31,11720.0,11720.0,11720.0,11660.0,11690.0,6334
2019-11-01,11850.0,11850.0,11885.0,11835.0,11875.0,14740
2019-11-04,11785.0,11785.0,11805.0,11765.0,11805.0,8580
2019-11-05,11625.0,11625.0,11660.0,11615.0,11650.0,6342
2019-11-06,11560.0,11560.0,11570.0,11530.0,11540.0,5218
2019-11-07,11605.0,11605.0,11630.0,11590.0,11590.0,3054
2019-11-08,11425.0,11425.0,11435.0,11350.0,11375.0,23747
2019-11-11,11385.0,11385.0,11385.0,11340.0,11360.0,29352
2019-11-12,11330.0,11330.0,11395.0,11330.0,11385.0,8394
2019-11-13,11405.0,11405.0,11405.0,11370.0,11370.0,6341
2019-11-14,11530.0,11530.0,11530.0,11460.0,11480.0,2116
2019-11-15,11550.0,11550.0,11590.0,11545.0,11585.0,8074
2019-11-18,11570.0,11570.0,11610.0,11570.0,11585.0,3751
2019-11-19,11610.0,11610.0,11635.0,11595.0,11615.0,7301
